city;reg;district;tribe_name;latitude;longitude;pop_tot;death_toll;tribe_oppose_ord;tribe_oppose_binary;uprising_control;uprising_control_binary;foodprice;ecindex1;ecindex2
Adiri;Fezzan;Wadi al Shatii;Al-Fazzazna;27,44707;13,05173;4611;0;0;0;0;0;88,4;-18,53;12,77
Ajaylat;Tripolitania;Nikhat Al Khams;Al-Nwail;32,75718;12,37633;4878;0;0;0;0;0;78,3;6,69;22,27
Ajdabia;Cyrenaica;Al Wahat;Al-Fawaqir;30,75545;20,22625;148000;146;0;0;1;1;70,3;-9,62;-10,89
Al-Abyar;Cyrenaica;Al Marj;Al-'Awaqir;32,19;20,59653;32563;0;1;1;2;1;80;-11,03;-13,15
Al-Jaghbub;Cyrenaica;Al Batnan;Zuwaya (Al-Ubaidat);29,74262;24,51676;2768;0;2;1;2;1;79;-8,47;-4,79
Al-Jawf;Fezzan;Jufra;Toubou;24,1989;23,29093;19000;0;2;1;2;1;102;-13,41;22,61
Al-Qatrun;Fezzan;Mursuq;Toubou;24,95139;14,64861;4501;0;2;1;0;0;109;-17,6;2,25
Al-Awaynat;Fezzan;Ghat;Tuareg;25,783333;10,55;NA;0;0;0;0;0;121,5;-18,32;5,28
Al-Bardiyah;Cyrenaica;Al Batnan;Al-Ubaidat;31,75601;25,0853;9149;0;2;1;2;1;79,3;-8,47;-4,79
Al-Bayda;Cyrenaica;Jabal al Akhdar;Bara’sa (Al-Ubaidat);32,76272;21,75506;250000;15;2;1;2;1;85,3;-4,42;-2,79
Al-Marj;Cyrenaica;Al Marj;Al-Arafa;32,49257;20,82909;100000;0;1;1;1;1;84,4;-11,03;-13,15
Awbari;Fezzan;Wai al Hayaa;Tuareg;26,59034;12,77511;35000;0;0;0;0;0;109;-18,16;0,71
Awjila;Cyrenaica;Al Wahat;Zuwaya (Al-Ubaidat);29,10806;21,28694;6610;0;1;1;2;1;70;-9,62;-10,89
Badr;Tripolitania;Nalut;Alseaan;32,016667;11,5;18693;0;0;0;0;0;85;-12,54;14,04
Benghazi;Cyrenaica;Benghazi;Al-'Awaqir;32,11486;20,06859;667000;840;1;1;2;1;79,9;36,67;-12,58
Beni Valid;Tripolitania;Misurata;Warfalla;31,74554;13,98354;50000;0;1;1;0;0;83,4;19,55;-18,42
Bin Jawad;Tripolitania;Sirt;Al-Fawaqir;30,80093885;18,08611339;8488;230;0;0;1;1;73;-14,76;-19,46
Bir al-Ghanam;Tripolitania;Zawia;Karaghala;32,3113174;12,56766187;3375;0;1;1;0;0;75,5;4,65;14,93
Birak;Fezzan;Wadi al Shatii;Warfalla;27,54956;14,27139;40000;0;1;1;0;0;88,4;-18,53;12,77
Brega;Cyrenaica;Al Wahat;Al-Fawaqir;30,40624;19,57386;20000;21;2;1;1;1;78;-9,62;-10,89
Derna;Cyrenaica;Derna;Al-Shahaibat (Al-Ubaidat);32,76704;22,63669;150000;2;2;1;2;1;88,9;-6,58;-0,79
Dirj;Tripolitania;Nalut;Tuareg;30,16178182;10,45782521;6000;0;0;0;0;0;87;-12,54;14,04
El Agheila;Cyrenaica;Al Wahat;Al-Fawaqir;30,2666656;19,1999992;NA;0;2;1;1;1;70;-9,62;-10,89
El Azizia;Tripolitania;Jafara;Warshfana;32,53194;13,0175;23400;0;0;0;0;0;78,5;19,5;11,97
